Hash,author,KC-Tags,MF-Tags,AM-Tags
1c33be57496d927ce05b2513ff0c108f69db4345,Nicolas Pitre,[('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Select') | ('Added' | 'Select')],[('Added' | 'Mapping')],['addAsset']
b22537c682671de97c932d5addb6b7d087352aa1,Nicolas Pitre,[('Added' | 'Feature') | ('Added' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
07914c84ba30e311f6bfb65b811b33a1dc094311,Angelo Compagnucci,[('Added' | 'Feature') | ('New' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
aab9ba7eb2633927d0010f00c3bc7960efcd3c23,Peter Meerwald,[('Added' | 'Feature') | ('New' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
eb869ade30a645dd2fadd89453615585f235794e,Peter Meerwald,[('Added' | 'Feature') | ('New' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
bf29fbeaa13d3350ca71df70c705d8b883c45692,Jacek Anaszewski,[('Added' | 'Feature') | ('New' | 'Depends') | ('New' | 'Select') | ('Added' | 'Select')],[('Added' | 'Mapping')],['addAsset']
31e4001d2e3c3f2d3b544c9891d542ee3502798e,Tomasz Figa,[('Added' | 'Feature') | ('New' | 'Select') | ('Added' | 'Select')],[('Added' | 'Mapping')],['addAsset']
3615a34ea1a6c1040744449b3da223569f3221b0,Linus Walleij,[('Added' | 'Feature') | ('New' | 'Depends') | ('Added' | 'Default')],[('Added' | 'Mapping')],['addAsset']
e9a03add0c6ed5341fc59ff9c76843c2888a33fa,Sonic Zhang,[('Added' | 'Feature') | ('New' | 'Select') | ('Added' | 'Select')],[('Added' | 'Mapping')],['addAsset']
aed06b9cfcabf8644ac5f6f108c0b3d01522f88b,K. Y. Srinivasan,[('Added' | 'Feature') | ('New' | 'Depends') | ('New' | 'Default')],[('Added' | 'build')],['addAsset']
bc407334e9a6a745de5360395282beb2690adf48,Laxman Dewangan,[('Added' | 'Feature') | ('New' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
757651e3d60e5bff705743a301d64035b919fd03,Markus Mayer,[('Added' | 'Feature') | ('New' | 'Depends')],[('Added' | 'Mapping')],['addAsset']
a62b01cd6cc1feb5e80d64d6937c291473ed82cb,Ard Biesheuvel,[('Added' | 'Feature') | ('New' | 'Select')],[('Added' | 'Mapping')],['addAsset']
3cb989501c2688cacbb7dc4b0d353faf838f53a1,David Howells,[('Added' | 'Feature')],[('Added' | 'Mapping')],['addAsset']
4b10884eb428c243ae2070a539612e645f3d9b93,Thierry Escande,[('Added' | 'Feature') | ('New' | 'Depends') | ('New' | 'Default')],[('Added' | 'build')],['addAsset']
9fd379e929a2808208b1d2d4cd9697067e83a242,Oliver Schinagl,[('Added' | 'Feature') | ('Added' | 'Depends')],[('Added' | 'build')],['addAsset']
b170d8ce3f81bd97e85756e9184779a56a5f55a7,Sudeep Dutt,[('Added' | 'Menu') | ('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Default')],[('Added' | 'build') | ('Added' | 'Mapping')],['addAsset']
