Hash,author,KC-Tags,MF-Tags,AM-Tags
4b08478422040ae8cb11acc15d51f1cdb0ac39c8,Guenter Roeck,no-tag-changed,no-tag-changed,['changeAsset' | 'removeAsset']
77da71b3a03ebb2bd06500ca1d85e1c5083bb005,Guenter Roeck,[('Remove' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default')],[('Remove' | 'Mapping') | ('Remove' | 'build')],['removeAsset']
dd9589c7c00ab41e49d972dc9a01fcac7dc39961,Guenter Roeck,[('Remove' | 'Feature') | ('Remove' | 'Depends')],[('Remove' | 'Mapping')],['changeAsset' | 'removeAsset']
136dfa5edae3207422a8b93347eb79e92e07cdfa,Linus Walleij,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Select') | ('Remove' | 'Depends') | ('Remove' | 'Default')],[('Remove' | 'Mapping') | ('Remove' | 'ifdef') | ('Remove' | 'build')],['removeAsset' | 'changeAsset']
7d7ee958867ad3c9c829a36c56e870879e83391f,Lan Tianyu,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Depends')],[('Remove' | 'Mapping')],['removeAsset']
e66f233dc7f7aef51d82cac1b93b46f7c9bf42ef,Sylwester Nawrocki,[('Remove' | 'Feature')],[('Remove' | 'Mapping')],['changeAsset' | 'removeAsset']
dfcc11ad4a4e620440475e25cf75d10c9d3bf7c2,Aaro Koskinen,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default') | ('Remove' | 'Select')],[('Remove' | 'Mapping')],['removeAsset']
95807689eab8441737572d1a9daaa1025429a908,Tony Lindgren,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default') | ('Remove' | 'Select')],[('Remove' | 'Mapping')],['removeAsset']
97411608fd5f17735f51103da08a738be1f932d9,Tony Lindgren,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default') | ('Remove' | 'Select')],[('Remove' | 'Mapping')],['removeAsset' | 'changeAsset']
06ff74fd197aa8205443cf64b94383802602e320,Javier Martinez Canillas,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default') | ('Remove' | 'Select')],[('Remove' | 'Mapping')],['changeAsset' | 'removeAsset']
a6e95a86e02e4a60b4355c84d19dba2baf3d87ba,Ralf Baechle,[('Remove' | 'Feature') | ('Modify' | 'Feature') | ('Remove' | 'Select')],[('Remove' | 'Mapping')],['changeAsset' | 'removeAsset']
e55f7cd2467631980f749fb0aef197c06ce38d6a,H Hartley Sweeten,[('Remove' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default')],[('Remove' | 'build')],['changeAsset' | 'removeAsset']
