pattern,commit,date,count
AddBuild (12),58497204aaca75c53394ff2dee6603315b8a2ea4,2013-09,1
AddBuild (12),922ca1dfc2127a5dc363e8c1e6c8a33c5a0a14c6,2013-10,1
AddBuild (12),8b6eb56a9570001634df1d2c7f38e7179a357362,2013-10,1
AddBuild (12),b016a0dd08999218a05a4b176bc08a9ff68ccc5e,2013-10,1
AddBuild (12),684f434cc05a122938b75e055d7d799f1dd58d55,2013-10,1
AddBuild (12),e2137086be7bc52893a790292635cfafc475b693,2013-10,1
AddBuild (12),0ab89d0bf8054c3146ec06df357946bb87f36729,2013-10,1
AddBuild (12),74af377bc25dd9ebcb0be12836abb6b401b5dd08,2013-10,1
AddBuild (12),80970472179a45609c0b11b80619bc8c32b15f77,2013-10,1
AddBuild (12),007fbbea9fc0ab667b0e873e8985698a3701b4e8,2013-10,1
AddBuild (12),6e6dc401d528e3b64626de82322fa237f1c1e576,2013-11,1
AddBuild (12),ab7474ea5361f5fe883feb5ae637a1c948df1507,2013-11,1
RemBuild (4),1700a449fec27c1cdabd9352c0da2c6ddf0bbaea,2013-09,1
RemBuild (4),a3c9e45d18ace44d02574518144742a00c7a94ec,2013-09,1
RemBuild (4),97b0b6ca4c0f0f964d3c6918301ca45353ef8bc5,2013-10,1
RemBuild (4),63d7bd1b171d5e7190c50dd3e48b1c561d7803d8,2013-11,1
AddBuildAssetCA (54),4e646495c6153f304fe45b6564ee08d4df935bb1,2013-09,1
AddBuildAssetCA (54),be4fc046bed35f7a50c8d5751abf555933d864ae,2013-09,1
AddBuildAssetCA (54),82b0f4b7c576d22c764239662cedc63c21f02d8d,2013-09,1
AddBuildAssetCA (54),a01e28f692088e9789ebb0c374fdac83de59899b,2013-09,1
AddBuildAssetCA (54),3a6a9201897c6482573ad07ee880574147761006,2013-09,1
AddBuildAssetCA (54),4821ff14a32886ee95c8b2850746ec020ca65189,2013-10,1
AddBuildAssetCA (54),e64457191a259537bbbfaebeba9a8043786af96f,2013-10,1
AddBuildAssetCA (54),e0ec2f39ef9905a24d5d88238eda3dabb8d591e0,2013-10,1
AddBuildAssetCA (54),6bf37e5aa90f18baf5acf4874bca505dd667c37f,2013-10,1
AddBuildAssetCA (54),f048d548f803b57ee1dbf66702f398ba69657450,2013-10,1
