pattern,commit,date,count
Remove Feature,4b08478422040ae8cb11acc15d51f1cdb0ac39c8,2013-09,1
Remove Feature,77da71b3a03ebb2bd06500ca1d85e1c5083bb005,2013-09,1
Remove Feature,dd9589c7c00ab41e49d972dc9a01fcac7dc39961,2013-09,1
Remove Feature,136dfa5edae3207422a8b93347eb79e92e07cdfa,2013-09,1
Remove Feature,7d7ee958867ad3c9c829a36c56e870879e83391f,2013-10,1
Remove Feature,e66f233dc7f7aef51d82cac1b93b46f7c9bf42ef,2013-10,1
Remove Feature,dfcc11ad4a4e620440475e25cf75d10c9d3bf7c2,2013-10,1
Remove Feature,95807689eab8441737572d1a9daaa1025429a908,2013-10,1
Remove Feature,97411608fd5f17735f51103da08a738be1f932d9,2013-10,1
Remove Feature,06ff74fd197aa8205443cf64b94383802602e320,2013-10,1
Remove Feature,a6e95a86e02e4a60b4355c84d19dba2baf3d87ba,2013-10,1
Remove Feature,e55f7cd2467631980f749fb0aef197c06ce38d6a,2013-10,1
