Hash,author,KC-Tags,MF-Tags,AM-Tags
2c727429e244c074a45c0d99b8ba57ad7fb6df36,Leandro Dorileo,[('Added' | 'Select') | ('Modify' | 'Feature') | ('Modify' | 'Select') | ('Added' | 'Depends')],[('Modify' | 'Mapping') | ('Modify' | 'ifdef')],['changeAsset']
da5f77ff470f49e90797db27a8923c988c099e96,Bruno Dilly,[('Modify' | 'Default') | ('Modify' | 'Feature') | ('Modify' | 'Select')],no-tag-changed,no-tag-changed
9110b309393ec27dee35baf23d1cbefe1a796d8f,Bruno Dilly,[('Added' | 'Depends') | ('Modify' | 'Depends')],no-tag-changed,no-tag-changed
6904e3aac6aa216f95638ea168f1307a519cc668,Ederson de Souza,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
0e485bad769392e3373c005618725e43a247073c,Ulisses Furquim,[('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Default') | ('Remove' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default')],[('Added' | 'ifdef') | ('Added' | 'build') | ('Remove' | 'ifdef') | ('Remove' | 'build')],['changeAsset' | 'addAsset']
47f2b250b4f6e5fac3731cf2cfc5247c6eefb667,Anselmo L. S. Melo,no-tag-changed,no-tag-changed,['changeAsset' | 'removeAsset']
0ed695cce9c78ed456e50b4e43b76f76fc98dba2,Ulisses Furquim,[('Added' | 'Depends')],no-tag-changed,['changeAsset']
0f5c625000541d6cbaa0ce2f030a83d02f816f87,Leandro Dorileo,[('Remove' | 'Feature') | ('Remove' | 'Default') | ('Remove' | 'Select')],no-tag-changed,no-tag-changed
b73f5a6a2425d3c88a99e7d7026a7c4303b56a56,Murilo Belluzzo,[('New' | 'Depends')],no-tag-changed,no-tag-changed
ac8b1913e425261ed196da0f3c4bc33d574f0d6a,Murilo Belluzzo,[('Added' | 'Depends') | ('Modify' | 'Feature') | ('Modify' | 'Depends')],[('Added' | 'build') | ('Added' | 'Mapping') | ('Modify' | 'build')],no-tag-changed
aa897c95058dd8166507903cd92caa648e73b72b,Leandro Dorileo,no-tag-changed,[('Added' | 'build')],no-tag-changed
229f9730f09043c5e23c8bb2fb2fcd1153a1a4c6,Murilo Belluzzo,no-tag-changed,no-tag-changed,no-tag-changed
d86b9f94c6599ef2e8e9c855f3dfb4cfcfddc019,Bruno Dilly,[('Added' | 'Feature') | ('New' | 'Default')],[('Added' | 'Mapping') | ('Added' | 'build') | ('Remove' | 'build') | ('Modify' | 'build')],['changeAsset']
ed413406e37c501ffd4544441085d264696d162e,Bruno Dilly,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],['changeAsset']
2de4ce974f7f154da1d781a25b523632b5718fa6,Bruno Dilly,[('Added' | 'Feature') | ('New' | 'Default')],[('Added' | 'Mapping') | ('Added' | 'build') | ('Modify' | 'build')],['changeAsset']
761cbea6d3e414e2b86b11c8ce40fe35ccae5b04,Bruno Dilly,[('Added' | 'Feature') | ('New' | 'Default')],[('Added' | 'Mapping') | ('Added' | 'build') | ('Added' | 'ifdef') | ('Remove' | 'build')],['changeAsset']
